Título,Autores,Resumen,Año,URL
Effect of APOE ε4 on multimodal brain connectomic traits: a persistent homology study,"J Li, C Bian, D Chen, X Meng, H Luo, H Liang","To integrate brain network information of different sparsity levels as well as avoid extra  connectivity strength estimation, we have introduced persistent homology (PH) to quantify the",2020,https://link.springer.com/content/pdf/10.1186/s12859-020-03877-9.pdf
Topological analysis of brain dynamics in autism based on graph and persistent homology,"AT Jafadideh, BM Asl","The PH has been recently developed in topological data analysis and deals with persistent   In ExploreDTI, outliers are detected and removed from the tensor estimation procedure",2022,https://www.biorxiv.org/content/biorxiv/early/2022/05/15/2022.05.14.491959.full.pdf
Topological Machine Learning for High-Dimensional Data Analysis,N Xu,This dissertation focuses on a comprehensive exploration of machine learning (ML) and  topological data analysis (TDA) with applications for engineering and clinical diagnostics and,2024,No disponible
Simplicial and topological descriptions of human brain dynamics,"J Billings, M Saggar, J Hlinka, S Keilholz","To recover the structure of that object, topological data analysis detects features that are  invariant under continuous deformations (such as coordinate rotation and nodal misalignment).",2021,https://direct.mit.edu/netn/article-pdf/5/2/549/1925205/netn_a_00190.pdf
Persistent homological state-space estimation of functional human brain networks at rest,"MK Chung, SG Huang, IC Carroll, VD Calhoun","We introduce an innovative, data-driven topological data analysis (TDA) technique  for estimating the state spaces of dynamically changing functional human brain networks at",2022,https://arxiv.org/pdf/2201.00087
Precision dynamical mapping using topological data analysis reveals a hub-like transition state at rest,"M Saggar, JM Shine, R Liégeois",Our Topological Data Analysis based Mapper approach characterized a highly visited  transition state of the brain that acts as a switch between different neural configurations to,2022,https://www.nature.com/articles/s41467-022-32381-2.pdf
Identification of Autism Spectrum Disorder Using Topological Data Analysis,"X Zhang, Y Gao, Y Zhang, F Li, H Li, F Lei","Topological data analysis (TDA) is an emerging and powerful mathematical tool for  characterizing shapes and describing intrinsic information in complex data. In TDA, persistence",2024,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11169318/
Multi-dimensional persistent feature analysis identifies connectivity patterns of resting-state brain networks in Alzheimer's disease,"J Li, C Bian, H Luo, D Chen, L Cao",Objective. The characterization of functional brain network is crucial to understanding the  neural mechanisms associated with Alzheimer's disease (AD) and mild cognitive impairment (,2021,No disponible
Topological data analysis of biomedical big data,"A Phinyomark, E Ibáñez-Marcelo","These techniques, collectively referred to as Topological Data Analysis, can extract  meaningful information without the need to rely on specific a priori models or hypotheses. The",2018,No disponible
Topological analysis of functional connectivity in Parkinson's disease,"W Zhang, S Xia, X Tang, X Zhang, D Liang","In topological data analysis (TDA), persistent homology is an effective tool to explore the  nonlinear structure of the data. Compared with the common methods such as principal",2023,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2023.1236128/pdf
Topological Embedding of Human Brain Networks with Applications to Dynamics of Temporal Lobe Epilepsy,"MK Chung, JB Che, VA Nair, CG Ramos, JR Mathis","We introduce a novel, data-driven topological data analysis (TDA) approach for embedding  brain networks into a lower-dimensional space in quantifying the dynamics of temporal lobe",2024,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11118617/
Analyzing Brain Tumor Connectomics Using Graphs and Persistent Homology,"D Bhattacharya, N Aithal, M Jayswal","The present study conducts a comprehensive topological data analysis and graph   Since, MRtrix allows for the estimation of multiple crossing fibres within a single voxel, it can",2024,https://arxiv.org/pdf/2407.17938
Topological persistence vineyard for dynamic functional brain connectivity during resting and gaming stages,"J Yoo, EY Kim, YM Ahn, JC Ye","One of main goals in topological data analysis (TDA) is to  of the experiment and dynamic  FC estimation using a sliding window  For the dynamic FC estimation, we calculated a distance",2016,No disponible
Topological Data Analysis Driven Feature Generation in Machine Learning Models,D Barnes,"Topological data analysis (TDA) is an emerging field in data  I focus on two main disciplines  of topological data analysis,  allow the use of topological data analysis in machine learning",2024,No disponible
Quantifying Contributions from Topological Cycles in the Brain Network towards Cognition,"S Garai, S Vo, L Blank, F Xu, J Chen, D Duong-Tran","In the past decade, topological data analysis tools such as Persistent Homology have   A fundamental problem arising in the practical applications of topological data analysis is its",2024,https://www.biorxiv.org/content/biorxiv/early/2024/06/04/2024.06.03.597217.full.pdf
Topological learning for brain networks,"T Songdechakraiwut, MK Chung","During the estimation of Θ, we take steps in the direction of negative gradient such that   The estimation is obtained using linear regression on observed running time as a function of n.",2023,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9997114/
Persistent Homology for MCI Classification: A Comparative Analysis between Graph and Vietoris-Rips Filtrations,"D Bhattacharya, R Kaur, N Aithal, N Sinha",that falls under the umbrella of topological data analysis. It offers a robust framework for   new knowledge to the field of topological data analysis for disease classification. Our work,2024,https://arxiv.org/pdf/2410.22681
Topological Segmentation of Time-Varying Functional Connectivity Highlights the Role of Preferred Cortical Circuits,"J Billings, M Saggar, S Keilholz, G Petri","questions remain regarding the organizing principles through which brain function emerges  from multi-regional interactions, advances in the mathematics of Topological Data Analysis (",2020,https://scholar.archive.org/work/pkxvvjgm3jhtxmys63ottpzgm4/access/wayback/https://www.biorxiv.org/content/biorxiv/early/2020/09/09/2020.09.06.285130.full.pdf
Computational neuroscience between machine learning and topology,M D'Amato,we present Topological Data Analysis and persistent homology. Topological Data Analysis is   Then we perform maximum likelihood estimation to obtain an estimation of the parameters:,2021,https://webthesis.biblio.polito.it/secure/20475/1/tesi.pdf
Towards a new approach to reveal dynamical organization of the brain using topological data analysis,"M Saggar, O Sporns, J Gonzalez-Castillo",Here we use Topological Data Analysis to reveal the overall organization of whole-brain  activity maps at a single-participant level—as an interactive representation—without arbitrarily,2018,https://www.nature.com/articles/s41467-018-03664-4.pdf
The Topology of Representational Geometry,"S Brown, R Farivar","The field of topological data analysis (TDA) provides prac- 109  F Chazal, B Michel, An  introduction to topological data analysis 638 estimation in topological data analysis. 31st Int. Conf.",2024,https://www.biorxiv.org/content/10.1101/2024.02.16.579506.full.pdf
P-Count: Persistence-Based Counting of White Matter Hyperintensities in Brain MRI,"X Hu, A Sorby-Adams, F Barkhof",Automated WMH segmentation methods enable quantitative analysis via estimation of total  lesion  PH is a topological data analysis tool that has been applied to image segmentation of,2024,https://arxiv.org/pdf/2403.13996
Spectral permutation test on persistence diagrams,"Y Wang, MK Chung, J Fridriksson","In practice, we include a finite number of terms for PD estimation:  As σ → с, we are doing  kernel density estimation with uniform kernel on Τ . Figure 1 shows the HK-estimation of a PD",2022,https://par.nsf.gov/servlets/purl/10376943
Homological landscape of human brain functional sub-circuits,"D Duong-Tran, R Kaufmann, J Chen, X Wang, S Garai","At the first three levels, we conducted the topological data analysis at the group-representative  level, which gives a broader view of the homological landscape between tasks and",2024,https://www.mdpi.com/2227-7390/12/3/455/pdf
The topology and geometry of neural representations,"B Lin, N Kriegeskorte",Topological data analysis techniques (40) such as the persistent  the power of topological  data analysis techniques to reveal  to reveal persistent homology in topological data analysis.,2024,https://www.pnas.org/doi/pdf/10.1073/pnas.2317881121
P-Count: Persistence-Based Counting of White Matter Hyperintensities,"X Hul, A Sorby-Adams¹, F Barkhof",Automated WMH segmentation methods enable quantitative analysis via estimation of total  lesion  PH is a topological data analysis tool that has been applied to image segmentation of,NA,No disponible
Topological Data Analysis for Intelligent Systems and Applications,"A EROGLU, HU EROGLU","On the other hand, when we look at topological data analysis, it  the topological data analysis  components: mapper and persistent homology. Section titled as “Topological Data Analysis",NA,https://www.researchgate.net/profile/Alperen-Eroglu/publication/378214130_Topological_Data_Analysis_for_Intelligent_Systems_and_Applications/links/65cddb5d34bbff5ba7175936/Topological-Data-Analysis-for-Intelligent-Systems-and-Applications.pdf
Topological data analysis for revealing dynamic brain reconfiguration in MEG data,"AN Duman, AE Tatar","Our proposed topological data analysis method, called Mapper, produces biomarkers  that differentiate cognitive tasks without prior spatial and temporal collapse of the data. The",2023,https://peerj.com/articles/15721.pdf
Development of the Functional Connectome Topology in Adolescence: Evidence from Topological Data Analysis,"Z Gracia-Tabuenca, JC Díaz-Patiño, I Arelio-Ríos","Every average with 95% confidence interval. The blue bars are centered at the sample  In  this study, we have applied Topological Data Analysis (TDA) on the functional connectomes of",2023,https://www.eneuro.org/content/eneuro/10/2/ENEURO.0296-21.2022.full.pdf
Simple topological task-based functional connectivity features predict longitudinal behavioral change of fluid reasoning in the RANN cohort,"G Argiris, Y Stern, S Lee, H Ryu, C Habeck","In the present study, we applied PH, a tool from topological data analysis (TDA), to the study  of longitudinal change in task-based functional connectivity (FC) network dynamics across",2023,https://www.sciencedirect.com/science/article/pii/S1053811923003889
Connectivity in fMRI: blind spots and breakthroughs,"V Solo, JB Poline, MA Lindquist","SBMs initially proposed by Snijders and Nowicki [20] are today ubiquitous in many network  characteristics estimation and analysis tasks, including community detection (see section II-C)",2018,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6291757/
Uncovering Dynamic Brain Reconfiguration in MEG Working Memory n-Back Task Using Topological Data Analysis,"AN Duman, AE Tatar, H Pirim","In this study, we addressed this issue using a topological data analysis (TDA) method,  called  , which has proven to be successful in previous applications of neuroimage data [26,28].",2019,https://www.mdpi.com/2076-3425/9/6/144/pdf
Resting state dynamic functional connectivity: Network topology analysis,"I Knyazeva, A Poyda, V Orlov, V Verkhlyutov",Topological data analysis consist exactly in constructing filtrated simplicial complex and  persistent homology estimation. Persistent homology of the weighted network is a set of,2018,No disponible
Topological data analysis of single-trial electroencephalographic signals,"Y Wang, H Ombao, MK Chung","On a deeper level, the weighted Fourier approach is motivated by the connection between  kernel estimation and heat diffusion equation. The popular Gaussian kernel estimator is noted",2018,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6135261/
Tree representations of brain structural connectivity via persistent homology,"D Li, P Nguyen, Z Zhang, D Dunson","Topological data analysis (TDA) uses notions of shapes and connectivity to find structure  in data, and persistent homology is one of the most well-known TDA methods (Wasserman,",2023,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2023.1200373/pdf
Emotion recognition based on phase-locking value brain functional network and topological data analysis,"Z Wang, S Li, J Zhang, C Liang","To overcome these problems, the persistent homology (PH) theory based on topological  data analysis was introduced in this study, and a PH-based framework for emotion recognition",2024,No disponible
Computational strategies to characterize topological properties of pathologically altered functional brain networks,DE Martínez Riaño,"brains and its emergent properties could improve our current knowledge about brain function,  in particular those that include a recent strategy called Topological Data Analysis (TDA) to",NA,https://repositorio.unal.edu.co/bitstream/handle/unal/82850/80238002.2022.pdf?sequence=2
The topology of time: transition networks in simulated and real neural dynamics,"M Zhang, S Chowdhury, M Saggar","Here, we provide a novel method – Temporal Mapper – built upon established tools from  the field of Topological Data Analysis to retrieve the network of attractor transitions from time-",2022,https://www.biorxiv.org/content/biorxiv/early/2022/12/01/2022.07.28.501877.full.pdf
Mathematical and Statistical Challenges in Neuroimaging Data Analysis,"B Caffo, L Kong, F Nathoo, T Ogden, H Zhu","Benjamin Risk’s presentation was on ”Large covariance estimation for spatial functional   Topological data analysis (TDA) has been popularized since its development in early 2000, and",2016,http://www.birs.ca/workshops/2016/16w5036/report16w5036.pdf
MRI biomarkers of recovery for acute stroke,D Carone,The second part of this Thesis used Topological Data Analysis (TDA) to analyse structural  (DTI tractography) and functional data (rs-fMRI). TDA allows the study of higher order complex,2021,https://ora.ox.ac.uk/objects/uuid:d0402ced-64b8-40d9-84b8-18bb198fbbb4/files/dcr56n139z
Topological Analysis of Seizure-Induced Changes in Brain Hierarchy Through Effective Connectivity,"AB El-Yaagoubi, MK Chung, H Ombao","Over the past two decades, Topological Data Analysis (TDA) has become a valuable tool in   alternative methods may be needed to ensure efficient and accurate connectivity estimation.",2024,https://arxiv.org/pdf/2407.13514
Deconstructing the Mapper algorithm to extract richer topological and temporal features from functional neuroimaging data,"D Haşegan, C Geniesse, S Chowdhury","Previously, tools from topological data analysis, especially Mapper, have been successfully   Even though it is a relatively established tool within the field of topological data analysis,",2024,https://direct.mit.edu/netn/article-pdf/doi/10.1162/netn_a_00403/2462258/netn_a_00403.pdf
Method for persistent topological features extraction of schizophrenia patients' electroencephalography signal based on persistent homology,"G Guo, Y Zhao, C Liu, Y Fu, X Xi, L Jin, D Shi","Therefore, based on the topological data analysis of persistent homology theory, this  study developed a multi-scale brain network modeling analysis method, which enables us to",2022,https://www.frontiersin.org/articles/10.3389/fncom.2022.1024205/pdf
Topological data analysis for directed dependence networks of multivariate time series data,"A El Yaagoubi, H Ombao","Topological data analysis (TDA) approaches are becoming increasingly popular for studying  the dependence patterns in multivariate time series data. In particular, various dependence",2023,https://arxiv.org/pdf/2306.07912
Topology highlights mesoscopic functional equivalence between imagery and perception: The case of hypnotizability,"E Ibáñez-Marcelo, L Campioni, A Phinyomark, G Petri","However, similar local activation patterns do not imply the same mesoscopic integration of  brain regions, which can be described by tools from Topological Data Analysis (TDA). On the",2019,https://www.biorxiv.org/content/10.1101/268383.full.pdf
Modeling and Simulating Dependence in Networks Using Topological Data Analysis,"AEY Bourakna, MK Chung, H Ombao",Topological Data Analysis: An overview. The goal of topological data analysis for time  series is to provide computational tools that can assess the topological features present in the,2022,https://arxiv.org/pdf/2209.10416
On the Shape of Brainscores for Large Language Models (LLMs),J Li,Persistent homology (PH) is a powerful tool in topological data analysis (TDA) that allows  us to study the shape and structure of data at different scales or resolutions. It provides a way,2024,https://arxiv.org/pdf/2405.06725
Topological distances between networks and its application to brain imaging,"H Lee, Z Ma, Y Wang, MK Chung",This paper surveys various distance measures for networks and graphs that were introduced  in persistent homology. The scope of the paper is limited to network distances that were,2017,https://arxiv.org/pdf/1701.04171
Statistical Brain Network Analysis,"SL Simpson, HM Shappell",The recent fusion of network science and neuroscience has catalyzed a paradigm shift in  how we study the brain and led to the field of brain network analysis. Brain network analyses,2024,https://www.annualreviews.org/doi/pdf/10.1146/annurev-statistics-040522-020722
Topological Analysis of Seizure-Induced Changes in Brain Hierarchy Through Effective Connectivity,"K Chung, H Ombao","Over the past two decades, Topological Data Analysis (TDA) has become a valuable tool in   alternative methods may be needed to ensure efficient and accurate connectivity estimation.",NA,https://www.researchgate.net/profile/Anass-B-El-Yaagoubi/publication/382363959_Topological_Analysis_of_Seizure-Induced_Changes_in_Brain_Hierarchy_Through_Effective_Connectivity/links/66b1d2912361f42f23b5772a/Topological-Analysis-of-Seizure-Induced-Changes-in-Brain-Hierarchy-Through-Effective-Connectivity.pdf
Low-frequency repetitive transcranial magnetic stimulation alters the individual functional dynamical landscape,"L Fan, Y Li, ZG Huang, W Zhang, X Wu, T Liu","Using Topological Data Analysis based Mapper approach, we construct the precise  dynamic mapping (PDM) for each participant. To reveal the relationship between PDM and",2023,No disponible
Topological Data Analysis and Visualization for Interpretable Machine Learning,A Rathore,"In this dissertation, we introduce systems that leverage topological data analysis (TDA) and  visualization to increase the interpretability of these models. We first present an architecture",2023,No disponible
Regression and alignment for functional data and network topology,"D Tu, J Wrobel, TD Satterthwaite, J Goldsmith","In simulated data, we demonstrate that our proposed curve alignment methods improve  parameter estimation in downstream regression analyses. We then apply our method to network",2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC10370026/
Data Analysis Via Topology and Geometry with Applications to Chemical Engineering,A Smith,We provide deep mathematical foundation for two particular areas of topological data  analysis: the Euler characteristic and persistence homology. These methods quantify the,2022,No disponible
𝓗1 persistent features of the resting-state connectome in healthy subjects,"DE Martínez-Riaño, F González, F Gómez","The analysis of the resting-state functional connectome commonly relies on graph  representations. However, the graph-based approach is restricted to pairwise interactions, not",2023,https://direct.mit.edu/netn/article-pdf/7/1/234/2071975/netn_a_00280.pdf
Topological summaries of tumor images improve prediction of disease free survival in glioblastoma multiforme,"L Crawford, A Monod, AX Chen","In Section 2, we describe the SECT in detail and provide a brief description of topological  data analysis (TDA). In Section 3, we specify a Bayesian framework that allows us to integrate",2016,https://www.researchgate.net/profile/Sayan-Mukherjee-2/publication/310610299_Topological_Summaries_of_Tumor_Images_Improve_Prediction_of_Disease_Free_Survival_in_Glioblastoma_Multiforme/links/5835911708ae102f073d2a59/Topological-Summaries-of-Tumor-Images-Improve-Prediction-of-Disease-Free-Survival-in-Glioblastoma-Multiforme.pdf
Topological data analysis,L Wasserman,"estimation (also called manifold learning), nonlinear dimension reduction, mode and ridge  estimation, and  It is not necessary to let h tend to 0 as we usual do in density estimation. The",2018,https://arxiv.org/pdf/1609.08227
A Comparative Study of the Perceptual Sensitivity of Topological Visualizations to Feature Variations,"TM Athawale, B Triana, T Kotha","As a key tool in scientific visualization, topological data analysis (TDA) [37 The logistic  regression (in red) with a 95% confidence interval is shown for each, with a summary table of",2023,https://arxiv.org/pdf/2307.08795
A Novel Interpretable Fusion Analytic Framework for Investigating Functional Brain Connectivity Differences in Cognitive Impairments,"Y Jeon, JJ Kim, SM Yu, J Choi, S Han","techniques derived from topological data analysis, which allows us to represent the topological  structure of high-dimensional data as a network. Topological data analysis simplifies the",2024,https://arxiv.org/pdf/2401.09028
Differentially Private Topological Data Analysis,"T Kang, S Kim, J Sohn, J Awan","This paper is the first to attempt differentially private (DP) topological data analysis (TDA),   estimation error and call the corresponding quantity dB(PDP,P(µ)) the privacy-estimation error",2024,https://www.jmlr.org/papers/volume25/23-0585/23-0585.pdf
"LOW-DIMENSIONAL STRUCTURE IN HIGH-DIMENSIONAL SYSTEMS 2013–2014 SAMSI PROGRAM REPORT, DECEMBER 2014","F Bunea, P Hoff, C Holmes, P Kim, V Koltchinskii","Founded almost fifteen years ago, topological data analysis (TDA) is rapidly becoming an   The goal of this project is to show that recently developed methods of estimation of large low",NA,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b71d3cf3b4f7f6e016c3934bb8d561501f874e8d
Topological data analysis suggests human brain networks reconfiguration in the transition from a resting state to cognitive load,"I Ernston, A Onuchin, T Adamovich",Ernston VNM23 with correction Page 1 TITLE Topological data analysis suggests human brain  networks reconfiguration in the transition from a resting state to cognitive load. AUTHORS,2023,https://arxiv.org/pdf/2305.12491
Topological data analysis as a new tool for eeg processing,"X Xu, N Drougard, RN Roy",Topological data analysis (TDA) as an emerging tool enables to analyse and understand  data from a different angle than traditionally used methods. As a higher dimensional analogy of,2021,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.761703/pdf
Voxel-level importance maps for interpretable brain age estimation,"KM Bintsi, V Baltatzis, A Hammers","Therefore, a possible biomarker used in AD is the estimation of the brain (biological) age of   to be successful on the task of brain age estimation, providing relatively high accuracy. They",2021,https://arxiv.org/pdf/2108.05388
Feature Extraction Using Topological Data Analysis for Machine Learning and Network Science Applications,W Guo,"Banerjee, who walked me into the exciting field of topological data analysis and directed  me to complete this work. Without his support, encouragement and endless patience, I would",2020,https://digital.lib.washington.edu/researchworks/bitstream/handle/1773/45507/Guo_washington_0250E_21060.pdf?sequence=1&isAllowed=y
Topological data analysis reveals robust alterations in the whole-brain and frontal lobe functional connectomes in attention-deficit/hyperactivity disorder,"Z Gracia-Tabuenca, JC Díaz-Patiño, I Arelio, S Alcauter","Here, we make use of topological data analysis (TDA) to explore the brain connectome  as a function of the filtration value (ie, the connectivity threshold), instead of using a static",2020,https://www.eneuro.org/content/eneuro/7/3/ENEURO.0543-19.2020.full.pdf
An analysis modality for vascular structures combining tissue-clearing technology and topological data analysis,"K Takahashi, K Abe, SI Kubota, N Fukatsu","Then, these classified target signals are subjected to topological data analysis and non-homogeneous  Poisson process model to extract geometric features. Consequently, the structural",2022,https://www.nature.com/articles/s41467-022-32848-2.pdf
Differentially Private Topological Data Analysis,"T Kang, S Kim, J Sohn, J Awan","This paper is the first to attempt differentially private (DP) topological data analysis (TDA),   estimation error and call the corresponding quantity dB(PDP,P(µ)) the privacy-estimation error",2023,https://arxiv.org/pdf/2305.03609
Neural resources shift under methylphenidate: A computational approach to examine anxiety-cognition interplay,"M Saggar, J Bruno, C Gaillard, L Claudino, M Ernst","Second, we performed an exploratory data analysis using Topological Data Analysis (TDA)-  beta estimation, (iii) interpolation across temporally masked frames using linear estimation of",2022,https://www.sciencedirect.com/science/article/pii/S1053811922008072
"Persistent Homology tested: functional & effective networks, fMRI & EEG, schizophrenia & seizures","J Hlinka, L Caputi, A Pidnebesna","Distinguishing normal and abnormal brain states is a key neuroscientific challenge.  Topological Data Analysis (TDA [1]), despite its relative novelty, already attracted attention of",NA,https://www.cs.cas.cz/hlinka/posterHlinkaHBM2021.pdf
Towards personalized diagnosis of glioblastoma in fluid-attenuated inversion recovery (FLAIR) by topological interpretable machine learning,"M Rucco, G Viticchi, L Falsetti",We remark that topological data analysis can be executed both on point cloud data and on  complex networks. Complex networks and possibly multi-layer networks are powerful tools for,2020,https://www.mdpi.com/2227-7390/8/5/770/pdf
Efficacy of different dynamic functional connectivity methods to capture cognitively relevant information,"H Xie, CY Zheng, DA Handwerker, PA Bandettini","Another example would be computing SWC_L1 via graphical LASSO, as we traded in-sample  estimation accuracy for out-of-sample estimation error by imposing L1 penalty. Should it",2019,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6401299/
Parameter investigation of topological data analysis for EEG signals,"F Altındiş, B Yılmaz, S Borisenok, K İçöz","Topological data analysis (TDA) methods have become appealing in EEG signal processing,  because they may help the scientists explore new features of complex and large amount of",2021,No disponible
High-order brain network feature extraction and classification method of first-episode schizophrenia: an EEG study,"Y Kang, J Zhao, Y Zhao, Z Zhao, Y Dong","By applying persistent homology and topological data analysis methods, we successfully  extracted multimodal persistent topological features from resting-state EEG signal data and",2024,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2024.1452197/pdf
Development of the brain functional connectome follows puberty-dependent nonlinear trajectories,"Z Gracia-Tabuenca, MB Moreno, FA Barrios, S Alcauter",Such likelihood estimation is based on their size (sum of the weights of the edges in this  case) and how it compares to a null distribution generated by permutations of the original data.,2021,https://www.sciencedirect.com/science/article/pii/S105381192100046X
A gradient sampling algorithm for stratified maps with applications to topological data analysis,"J Leygonie, M Carrière, T Lacombe, S Oudot","The motivation behind this work stems from Topological Data Analysis (TDA), where the  underlying geometric structures of complex data are characterized by means of computable",2023,https://link.springer.com/content/pdf/10.1007/s10107-023-01931-x.pdf
