PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37998201","Topological Data Analysis for Multivariate Time Series Data","El-Yaagoubi AB, Chung MK, Ombao H.","Entropy (Basel). 2023 Nov 1;25(11):1509. doi: 10.3390/e25111509.","El-Yaagoubi AB","Entropy (Basel)","2023","2023/11/24","PMC10669999","","10.3390/e25111509"
"37841699","PERSISTENT PATH LAPLACIAN","Wang R, Wei GW.","Found Data Sci. 2023 Mar;5(1):26-55. doi: 10.3934/fods.2022015.","Wang R","Found Data Sci","2023","2023/10/16","PMC10575407","NIHMS1888540","10.3934/fods.2022015"
"30110745","Topological data analysis of continuum percolation with disks","Speidel L, Harrington HA, Chapman SJ, Porter MA.","Phys Rev E. 2018 Jul;98(1-1):012318. doi: 10.1103/PhysRevE.98.012318.","Speidel L","Phys Rev E","2018","2018/08/17","","","10.1103/PhysRevE.98.012318"
"34111515","Promises and pitfalls of topological data analysis for brain connectivity analysis","Caputi L, Pidnebesna A, Hlinka J.","Neuroimage. 2021 Sep;238:118245. doi: 10.1016/j.neuroimage.2021.118245. Epub 2021 Jun 7.","Caputi L","Neuroimage","2021","2021/06/10","","","10.1016/j.neuroimage.2021.118245"
"39321316","Topological Data Analysis for Particulate Gels","Smith AD, Donley GJ, Del Gado E, Zavala VM.","ACS Nano. 2024 Oct 22;18(42):28622-28635. doi: 10.1021/acsnano.4c04969. Epub 2024 Sep 25.","Smith AD","ACS Nano","2024","2024/09/25","","","10.1021/acsnano.4c04969"
"32246730","The shape of things to come: Topological data analysis and biology, from molecules to organisms","Amézquita EJ, Quigley MY, Ophelders T, Munch E, Chitwood DH.","Dev Dyn. 2020 Jul;249(7):816-833. doi: 10.1002/dvdy.175. Epub 2020 Apr 13.","Amézquita EJ","Dev Dyn","2020","2020/04/05","PMC7383827","","10.1002/dvdy.175"
"37005938","Topological data analysis in medical imaging: current state of the art","Singh Y, Farrelly CM, Hathaway QA, Leiner T, Jagtap J, Carlsson GE, Erickson BJ.","Insights Imaging. 2023 Apr 1;14(1):58. doi: 10.1186/s13244-023-01413-w.","Singh Y","Insights Imaging","2023","2023/04/03","PMC10067000","","10.1186/s13244-023-01413-w"
"29426065","A review of machine learning in obesity","DeGregory KW, Kuiper P, DeSilvio T, Pleuss JD, Miller R, Roginski JW, Fisher CB, Harness D, Viswanath S, Heymsfield SB, Dungan I, Thomas DM.","Obes Rev. 2018 May;19(5):668-685. doi: 10.1111/obr.12667. Epub 2018 Feb 9.","DeGregory KW","Obes Rev","2018","2018/02/10","PMC8176949","NIHMS1705802","10.1111/obr.12667"
"33479112","Topological data analysis reveals genotype-phenotype relationships in primary ciliary dyskinesia","Shoemark A, Rubbo B, Legendre M, Fassad MR, Haarman EG, Best S, Bon ICM, Brandsma J, Burgel PR, Carlsson G, Carr SB, Carroll M, Edwards M, Escudier E, Honoré I, Hunt D, Jouvion G, Loebinger MR, Maitre B, Morris-Rosendahl D, Papon JF, Parsons CM, Patel MP, Thomas NS, Thouvenin G, Walker WT, Wilson R, Hogg C, Mitchison HM, Lucas JS.","Eur Respir J. 2021 Aug 5;58(2):2002359. doi: 10.1183/13993003.02359-2020. Print 2021 Aug.","Shoemark A","Eur Respir J","2021","2021/01/22","","","10.1183/13993003.02359-2020"
"37507400","A universal null-distribution for topological data analysis","Bobrowski O, Skraba P.","Sci Rep. 2023 Jul 28;13(1):12274. doi: 10.1038/s41598-023-37842-2.","Bobrowski O","Sci Rep","2023","2023/07/28","PMC10382541","","10.1038/s41598-023-37842-2"
"31410374","Feasibility of topological data analysis for event-related fMRI","Ellis CT, Lesnick M, Henselman-Petrusek G, Keller B, Cohen JD.","Netw Neurosci. 2019 Jul 1;3(3):695-706. doi: 10.1162/netn_a_00095. eCollection 2019.","Ellis CT","Netw Neurosci","2019","2019/08/15","PMC6663178","","10.1162/netn_a_00095"
"32727348","A topological data analysis based classification method for multiple measurements","Riihimäki H, Chachólski W, Theorell J, Hillert J, Ramanujam R.","BMC Bioinformatics. 2020 Jul 29;21(1):336. doi: 10.1186/s12859-020-03659-3.","Riihimäki H","BMC Bioinformatics","2020","2020/07/31","PMC7392670","","10.1186/s12859-020-03659-3"
"34124648","A Survey of Topological Machine Learning Methods","Hensel F, Moor M, Rieck B.","Front Artif Intell. 2021 May 26;4:681108. doi: 10.3389/frai.2021.681108. eCollection 2021.","Hensel F","Front Artif Intell","2021","2021/06/14","PMC8187791","","10.3389/frai.2021.681108"
"34900137","Mathematical-based microbiome analytics for clinical translation","Narayana JK, Mac Aogáin M, Goh WWB, Xia K, Tsaneva-Atanasova K, Chotirmall SH.","Comput Struct Biotechnol J. 2021 Nov 22;19:6272-6281. doi: 10.1016/j.csbj.2021.11.029. eCollection 2021.","Narayana JK","Comput Struct Biotechnol J","2021","2021/12/13","PMC8637001","","10.1016/j.csbj.2021.11.029"
"34268488","Topological Data Analysis of C. elegans Locomotion and Behavior","Thomas A, Bates K, Elchesen A, Hartsock I, Lu H, Bubenik P.","Front Artif Intell. 2021 Jun 29;4:668395. doi: 10.3389/frai.2021.668395. eCollection 2021.","Thomas A","Front Artif Intell","2021","2021/07/16","PMC8276312","","10.3389/frai.2021.668395"
"31125372","Topological data analysis of high resolution diabetic retinopathy images","Garside K, Henderson R, Makarenko I, Masoller C.","PLoS One. 2019 May 24;14(5):e0217413. doi: 10.1371/journal.pone.0217413. eCollection 2019.","Garside K","PLoS One","2019","2019/05/25","PMC6534291","","10.1371/journal.pone.0217413"
"34006639","Topological clustering of multilayer networks","Yuvaraj M, Dey AK, Lyubchich V, Gel YR, Poor HV.","Proc Natl Acad Sci U S A. 2021 May 25;118(21):e2019994118. doi: 10.1073/pnas.2019994118.","Yuvaraj M","Proc Natl Acad Sci U S A","2021","2021/05/19","PMC8166179","","10.1073/pnas.2019994118"
"25970184","Topological data analysis of biological aggregation models","Topaz CM, Ziegelmeier L, Halverson T.","PLoS One. 2015 May 13;10(5):e0126383. doi: 10.1371/journal.pone.0126383. eCollection 2015.","Topaz CM","PLoS One","2015","2015/05/14","PMC4430537","","10.1371/journal.pone.0126383"
"34441257","Topological Data Analysis for Eye Fundus Image Quality Assessment","Avilés-Rodríguez GJ, Nieto-Hipólito JI, Cosío-León MLÁ, Romo-Cárdenas GS, Sánchez-López JD, Radilla-Chávez P, Vázquez-Briseño M.","Diagnostics (Basel). 2021 Jul 23;11(8):1322. doi: 10.3390/diagnostics11081322.","Avilés-Rodríguez GJ","Diagnostics (Basel)","2021","2021/08/27","PMC8394537","","10.3390/diagnostics11081322"
"30732720","Precision Medicine for Aortic Stenosis: The Future of Cardiology Today","Chandrashekhar YS, Johnson KW.","JACC Cardiovasc Imaging. 2019 Feb;12(2):249-251. doi: 10.1016/j.jcmg.2018.12.005.","Chandrashekhar YS","JACC Cardiovasc Imaging","2019","2019/02/09","","","10.1016/j.jcmg.2018.12.005"
"36545477","Exploring the use of topological data analysis to automatically detect data quality faults","Tudoreanu ME.","Front Big Data. 2022 Dec 5;5:931398. doi: 10.3389/fdata.2022.931398. eCollection 2022.","Tudoreanu ME","Front Big Data","2022","2022/12/22","PMC9760691","","10.3389/fdata.2022.931398"
"38248193","Topological Data Analysis in Cardiovascular Signals: An Overview","Hernández-Lemus E, Miramontes P, Martínez-García M.","Entropy (Basel). 2024 Jan 12;26(1):67. doi: 10.3390/e26010067.","Hernández-Lemus E","Entropy (Basel)","2024","2024/01/22","PMC10814033","","10.3390/e26010067"
"37430224","Supervised topological data analysis for MALDI mass spectrometry imaging applications","Klaila G, Vutov V, Stefanou A.","BMC Bioinformatics. 2023 Jul 10;24(1):279. doi: 10.1186/s12859-023-05402-0.","Klaila G","BMC Bioinformatics","2023","2023/07/10","PMC10334630","","10.1186/s12859-023-05402-0"
"37580175","Artificial intelligence-aided protein engineering: from topological data analysis to deep protein language models","Qiu Y, Wei GW.","Brief Bioinform. 2023 Sep 20;24(5):bbad289. doi: 10.1093/bib/bbad289.","Qiu Y","Brief Bioinform","2023","2023/08/14","PMC10516362","","10.1093/bib/bbad289"
"32715304","Topological Data Analysis of Functional MRI Connectivity in Time and Space Domains","Anderson KL, Anderson JS, Palande S, Wang B.","Connect Neuroimaging (2018). 2018 Sep;11083:67-77. doi: 10.1007/978-3-030-00755-3_8. Epub 2018 Sep 15.","Anderson KL","Connect Neuroimaging (2018)","2018","2020/07/28","PMC7380262","NIHMS1609911","10.1007/978-3-030-00755-3_8"
"33452960","Topological Data Analysis Approaches to Uncovering the Timing of Ring Structure Onset in Filamentous Networks","Ciocanel MV, Juenemann R, Dawes AT, McKinley SA.","Bull Math Biol. 2021 Jan 16;83(3):21. doi: 10.1007/s11538-020-00847-3.","Ciocanel MV","Bull Math Biol","2021","2021/01/16","PMC7811524","","10.1007/s11538-020-00847-3"
"32151601","Topological portraits of multiscale coordination dynamics","Zhang M, Kalies WD, Kelso JAS, Tognoli E.","J Neurosci Methods. 2020 Jun 1;339:108672. doi: 10.1016/j.jneumeth.2020.108672. Epub 2020 Mar 6.","Zhang M","J Neurosci Methods","2020","2020/03/11","PMC7286562","NIHMS1587448","10.1016/j.jneumeth.2020.108672"
"33362204","Tracking collective cell motion by topological data analysis","Bonilla LL, Carpio A, Trenado C.","PLoS Comput Biol. 2020 Dec 23;16(12):e1008407. doi: 10.1371/journal.pcbi.1008407. eCollection 2020 Dec.","Bonilla LL","PLoS Comput Biol","2020","2020/12/28","PMC7757824","","10.1371/journal.pcbi.1008407"
"30220953","Topological Data Analysis of Single-Trial Electroencephalographic Signals","Wang Y, Ombao H, Chung MK.","Ann Appl Stat. 2018 Sep;12(3):1506-1534. doi: 10.1214/17-AOAS1119. Epub 2018 Sep 11.","Wang Y","Ann Appl Stat","2018","2018/09/18","PMC6135261","NIHMS868617","10.1214/17-AOAS1119"
"30530312","Persistence Paths and Signature Features in Topological Data Analysis","Chevyrev I, Nanda V, Oberhauser H.","IEEE Trans Pattern Anal Mach Intell. 2020 Jan;42(1):192-202. doi: 10.1109/TPAMI.2018.2885516. Epub 2018 Dec 7.","Chevyrev I","IEEE Trans Pattern Anal Mach Intell","2020","2018/12/12","","","10.1109/TPAMI.2018.2885516"
"37489123","Topological data analysis for revealing dynamic brain reconfiguration in MEG data","Duman AN, Tatar AE.","PeerJ. 2023 Jul 20;11:e15721. doi: 10.7717/peerj.15721. eCollection 2023.","Duman AN","PeerJ","2023","2023/07/25","PMC10363343","","10.7717/peerj.15721"
"31626286","Topological data analysis quantifies biological nano-structure from single molecule localization microscopy","Pike JA, Khan AO, Pallini C, Thomas SG, Mund M, Ries J, Poulter NS, Styles IB.","Bioinformatics. 2020 Mar 1;36(5):1614-1621. doi: 10.1093/bioinformatics/btz788.","Pike JA","Bioinformatics","2020","2019/10/19","PMC7162425","","10.1093/bioinformatics/btz788"
"36899570","Characterizing emerging features in cell dynamics using topological data analysis methods","Dawson M, Dudley C, Omoma S, Tung HR, Ciocanel MV.","Math Biosci Eng. 2023 Jan;20(2):3023-3046. doi: 10.3934/mbe.2023143. Epub 2022 Dec 1.","Dawson M","Math Biosci Eng","2023","2023/03/11","","","10.3934/mbe.2023143"
"38083500","Topological Data Analysis of Electroencephalogram Signals for Pediatric Obstructive Sleep Apnea","Manjunath S, Perea JA, Sathyanarayana A.","Annu Int Conf IEEE Eng Med Biol Soc. 2023 Jul;2023:1-4. doi: 10.1109/EMBC40787.2023.10340674.","Manjunath S","Annu Int Conf IEEE Eng Med Biol Soc","2023","2023/12/12","","","10.1109/EMBC40787.2023.10340674"
"31410378","Generating dynamical neuroimaging spatiotemporal representations (DyNeuSR) using topological data analysis","Geniesse C, Sporns O, Petri G, Saggar M.","Netw Neurosci. 2019 Jul 1;3(3):763-778. doi: 10.1162/netn_a_00093. eCollection 2019.","Geniesse C","Netw Neurosci","2019","2019/08/15","PMC6663215","","10.1162/netn_a_00093"
"30787042","Fast Estimation of Recombination Rates Using Topological Data Analysis","Humphreys DP, McGuirl MR, Miyagi M, Blumberg AJ.","Genetics. 2019 Apr;211(4):1191-1204. doi: 10.1534/genetics.118.301565. Epub 2019 Feb 20.","Humphreys DP","Genetics","2019","2019/02/22","PMC6456321","","10.1534/genetics.118.301565"
"29289301","Exploring hyperspectral imaging data sets with topological data analysis","Duponchel L.","Anal Chim Acta. 2018 Feb 13;1000:123-131. doi: 10.1016/j.aca.2017.11.029. Epub 2017 Nov 22.","Duponchel L","Anal Chim Acta","2018","2018/01/01","","","10.1016/j.aca.2017.11.029"
"36911168","TOPOLOGICAL LEARNING FOR BRAIN NETWORKS","Songdechakraiwut T, Chung MK.","Ann Appl Stat. 2023 Mar;17(1):403-433. doi: 10.1214/22-aoas1633. Epub 2023 Jan 24.","Songdechakraiwut T","Ann Appl Stat","2023","2023/03/13","PMC9997114","NIHMS1868875","10.1214/22-aoas1633"
"29734501","Using multidimensional topological data analysis to identify traits of hip osteoarthritis","Rossi-deVries J, Pedoia V, Samaan MA, Ferguson AR, Souza RB, Majumdar S.","J Magn Reson Imaging. 2018 Oct;48(4):1046-1058. doi: 10.1002/jmri.26029. Epub 2018 May 7.","Rossi-deVries J","J Magn Reson Imaging","2018","2018/05/08","PMC6174097","NIHMS951871","10.1002/jmri.26029"
"26806491","Quantum algorithms for topological and geometric analysis of data","Lloyd S, Garnerone S, Zanardi P.","Nat Commun. 2016 Jan 25;7:10138. doi: 10.1038/ncomms10138.","Lloyd S","Nat Commun","2016","2016/01/26","PMC4737711","","10.1038/ncomms10138"
"31410372","The importance of the whole: Topological data analysis for the network neuroscientist","Sizemore AE, Phillips-Cremins JE, Ghrist R, Bassett DS.","Netw Neurosci. 2019 Jul 1;3(3):656-673. doi: 10.1162/netn_a_00073. eCollection 2019.","Sizemore AE","Netw Neurosci","2019","2019/08/15","PMC6663305","","10.1162/netn_a_00073"
"34485918","HERMES: PERSISTENT SPECTRAL GRAPH SOFTWARE","Wang R, Zhao R, Ribando-Gros E, Chen J, Tong Y, Wei GW.","Found Data Sci. 2021 Mar;3(1):67-97. doi: 10.3934/fods.2021006.","Wang R","Found Data Sci","2021","2021/09/06","PMC8411887","NIHMS1717421","10.3934/fods.2021006"
"32288422","Topological data analysis to model the shape of immune responses during co-infections","Sasaki K, Bruder D, Hernandez-Vargas EA.","Commun Nonlinear Sci Numer Simul. 2020 Jun;85:105228. doi: 10.1016/j.cnsns.2020.105228. Epub 2020 Feb 15.","Sasaki K","Commun Nonlinear Sci Numer Simul","2020","2020/04/15","PMC7129978","","10.1016/j.cnsns.2020.105228"
"36097010","An analysis modality for vascular structures combining tissue-clearing technology and topological data analysis","Takahashi K, Abe K, Kubota SI, Fukatsu N, Morishita Y, Yoshimatsu Y, Hirakawa S, Kubota Y, Watabe T, Ehata S, Ueda HR, Shimamura T, Miyazono K.","Nat Commun. 2022 Sep 12;13(1):5239. doi: 10.1038/s41467-022-32848-2.","Takahashi K","Nat Commun","2022","2022/09/12","PMC9468184","","10.1038/s41467-022-32848-2"
"36699734","Topological data analysis of thoracic radiographic images shows improved radiomics-based lung tumor histology prediction","Vandaele R, Mukherjee P, Selby HM, Shah RP, Gevaert O.","Patterns (N Y). 2022 Dec 12;4(1):100657. doi: 10.1016/j.patter.2022.100657. eCollection 2023 Jan 13.","Vandaele R","Patterns (N Y)","2022","2023/01/26","PMC9868648","","10.1016/j.patter.2022.100657"
"38156039","Statistical inference for dependence networks in topological data analysis","El-Yaagoubi AB, Chung MK, Ombao H.","Front Artif Intell. 2023 Dec 14;6:1293504. doi: 10.3389/frai.2023.1293504. eCollection 2023.","El-Yaagoubi AB","Front Artif Intell","2023","2023/12/29","PMC10752923","","10.3389/frai.2023.1293504"
"33431928","Topological data analysis (TDA) enhances bispectral EEG (BSEEG) algorithm for detection of delirium","Yamanashi T, Kajitani M, Iwata M, Crutchley KJ, Marra P, Malicoat JR, Williams JC, Leyden LR, Long H, Lo D, Schacher CJ, Hiraoka K, Tsunoda T, Kobayashi K, Ikai Y, Kaneko K, Umeda Y, Kadooka Y, Shinozaki G.","Sci Rep. 2021 Jan 11;11(1):304. doi: 10.1038/s41598-020-79391-y.","Yamanashi T","Sci Rep","2021","2021/01/12","PMC7801387","","10.1038/s41598-020-79391-y"
"37061477","Topological Data analysis of Ion Migration Mechanism","Sato R, Akagi K, Takagi S, Sau K, Kisu K, Li H, Orimo SI.","J Chem Phys. 2023 Apr 14;158(14):144116. doi: 10.1063/5.0143387.","Sato R","J Chem Phys","2023","2023/04/15","","","10.1063/5.0143387"
"29922307","Topological Data Analysis as a Morphometric Method: Using Persistent Homology to Demarcate a Leaf Morphospace","Li M, An H, Angelovici R, Bagaza C, Batushansky A, Clark L, Coneva V, Donoghue MJ, Edwards E, Fajardo D, Fang H, Frank MH, Gallaher T, Gebken S, Hill T, Jansky S, Kaur B, Klahs PC, Klein LL, Kuraparthy V, Londo J, Migicovsky Z, Miller A, Mohn R, Myles S, Otoni WC, Pires JC, Rieffer E, Schmerler S, Spriggs E, Topp CN, Van Deynze A, Zhang K, Zhu L, Zink BM, Chitwood DH.","Front Plant Sci. 2018 Apr 25;9:553. doi: 10.3389/fpls.2018.00553. eCollection 2018.","Li M","Front Plant Sci","2018","2018/06/21","PMC5996898","","10.3389/fpls.2018.00553"
"39511199","Mapping membrane biophysical nano-environments","Panconi L, Euchner J, Tashev SA, Makarova M, Herten DP, Owen DM, Nieves DJ.","Nat Commun. 2024 Nov 7;15(1):9641. doi: 10.1038/s41467-024-53883-1.","Panconi L","Nat Commun","2024","2024/11/07","PMC11544141","","10.1038/s41467-024-53883-1"
"38136467","Cluster Persistence for Weighted Graphs","Bobrowski O, Skraba P.","Entropy (Basel). 2023 Nov 26;25(12):1587. doi: 10.3390/e25121587.","Bobrowski O","Entropy (Basel)","2023","2023/12/23","PMC10743168","","10.3390/e25121587"
"37346603","Persistent homology classification algorithm","De Lara MLD.","PeerJ Comput Sci. 2023 Jan 10;9:e1195. doi: 10.7717/peerj-cs.1195. eCollection 2023.","De Lara MLD","PeerJ Comput Sci","2023","2023/06/22","PMC10280283","","10.7717/peerj-cs.1195"
"37549786","A topological data analysis study on murine pulmonary arterial trees with pulmonary hypertension","Miller M, Johnston N, Livengood I, Spinelli M, Sazdanovic R, Olufsen MS.","Math Biosci. 2023 Oct;364:109056. doi: 10.1016/j.mbs.2023.109056. Epub 2023 Aug 6.","Miller M","Math Biosci","2023","2023/08/07","","","10.1016/j.mbs.2023.109056"
"26194875","Topological data analysis of contagion maps for examining spreading processes on networks","Taylor D, Klimm F, Harrington HA, Kramár M, Mischaikow K, Porter MA, Mucha PJ.","Nat Commun. 2015 Jul 21;6:7723. doi: 10.1038/ncomms8723.","Taylor D","Nat Commun","2015","2015/07/22","PMC4566922","NIHMS697381","10.1038/ncomms8723"
"31484123","Scalable Topological Data Analysis and Visualization for Evaluating Data-Driven Models in Scientific Applications","Liu S, Wang D, Maljovec D, Anirudh R, Thiagarajan JJ, Jacobs SA, Van Essen BC, Hysom D, Yeom JS, Gaffney J, Peterson L, Robinson PB, Bhatia H, Pascucci V, Spears BK, Bremer PT.","IEEE Trans Vis Comput Graph. 2020 Jan;26(1):291-300. doi: 10.1109/TVCG.2019.2934594. Epub 2019 Aug 30.","Liu S","IEEE Trans Vis Comput Graph","2020","2019/09/05","","","10.1109/TVCG.2019.2934594"
"26357146","Multivariate Data Analysis Using Persistence-Based Filtering and Topological Signatures","Rieck B, Mara H, Leitte H.","IEEE Trans Vis Comput Graph. 2012 Dec;18(12):2382-91. doi: 10.1109/TVCG.2012.248.","Rieck B","IEEE Trans Vis Comput Graph","2012","2015/09/11","","","10.1109/TVCG.2012.248"
"39202171","Singular-Value-Decomposition-Based Matrix Surgery","Ghafuri J, Jassim S.","Entropy (Basel). 2024 Aug 17;26(8):701. doi: 10.3390/e26080701.","Ghafuri J","Entropy (Basel)","2024","2024/08/29","PMC11353412","","10.3390/e26080701"
"33454260","Topological Data Analysis of Coronary Plaques Demonstrates the Natural History of Coronary Atherosclerosis","Hwang D, Kim HJ, Lee SP, Lim S, Koo BK, Kim YJ, Kook W, Andreini D, Al-Mallah MH, Budoff MJ, Cademartiri F, Chinnaiyan K, Choi JH, Conte E, Marques H, de Araújo Gonçalves P, Gottlieb I, Hadamitzky M, Leipsic JA, Maffei E, Pontone G, Raff GL, Shin S, Lee BK, Chun EJ, Sung JM, Lee SE, Berman DS, Lin FY, Virmani R, Samady H, Stone PH, Narula J, Bax JJ, Shaw LJ, Min JK, Chang HJ.","JACC Cardiovasc Imaging. 2021 Jul;14(7):1410-1421. doi: 10.1016/j.jcmg.2020.11.009. Epub 2021 Jan 13.","Hwang D","JACC Cardiovasc Imaging","2021","2021/01/17","","","10.1016/j.jcmg.2020.11.009"
"36808085","Topological data analysis identifies molecular phenotypes of idiopathic pulmonary fibrosis","Shapanis A, Jones MG, Schofield J, Skipp P.","Thorax. 2023 Jul;78(7):682-689. doi: 10.1136/thorax-2022-219731. Epub 2023 Feb 20.","Shapanis A","Thorax","2023","2023/02/22","PMC10314053","","10.1136/thorax-2022-219731"
"38282698","Topological Persistence Guided Knowledge Distillation for Wearable Sensor Data","Jeon ES, Choi H, Shukla A, Wang Y, Lee H, Buman MP, Turaga P.","Eng Appl Artif Intell. 2024 Apr;130:107719. doi: 10.1016/j.engappai.2023.107719. Epub 2023 Dec 20.","Jeon ES","Eng Appl Artif Intell","2024","2024/01/29","PMC10810240","NIHMS1952794","10.1016/j.engappai.2023.107719"
"24170857","Topology of viral evolution","Chan JM, Carlsson G, Rabadan R.","Proc Natl Acad Sci U S A. 2013 Nov 12;110(46):18566-71. doi: 10.1073/pnas.1313480110. Epub 2013 Oct 29.","Chan JM","Proc Natl Acad Sci U S A","2013","2013/10/31","PMC3831954","","10.1073/pnas.1313480110"
"33094152","Contractibility of a persistence map preimage","Cyranka J, Mischaikow K, Weibel C.","J Appl Comput Topol. 2020;4(4):509-523. doi: 10.1007/s41468-020-00059-7. Epub 2020 Aug 28.","Cyranka J","J Appl Comput Topol","2020","2020/10/23","PMC7548282","","10.1007/s41468-020-00059-7"
"34181657","Topological data analysis distinguishes parameter regimes in the Anderson-Chaplain model of angiogenesis","Nardini JT, Stolz BJ, Flores KB, Harrington HA, Byrne HM.","PLoS Comput Biol. 2021 Jun 28;17(6):e1009094. doi: 10.1371/journal.pcbi.1009094. eCollection 2021 Jun.","Nardini JT","PLoS Comput Biol","2021","2021/06/28","PMC8270459","","10.1371/journal.pcbi.1009094"
"26466022","Topological data analysis for discovery in preclinical spinal cord injury and traumatic brain injury","Nielson JL, Paquette J, Liu AW, Guandique CF, Tovar CA, Inoue T, Irvine KA, Gensel JC, Kloke J, Petrossian TC, Lum PY, Carlsson GE, Manley GT, Young W, Beattie MS, Bresnahan JC, Ferguson AR.","Nat Commun. 2015 Oct 14;6:8581. doi: 10.1038/ncomms9581.","Nielson JL","Nat Commun","2015","2015/10/15","PMC4634208","","10.1038/ncomms9581"
"28215809","Topological data analysis (TDA) applied to reveal pedogenetic principles of European topsoil system","Savic A, Toth G, Duponchel L.","Sci Total Environ. 2017 May 15;586:1091-1100. doi: 10.1016/j.scitotenv.2017.02.095. Epub 2017 Feb 16.","Savic A","Sci Total Environ","2017","2017/02/21","","","10.1016/j.scitotenv.2017.02.095"
"37402207","Spatiochemical Characterization of the Pancreas Using Mass Spectrometry Imaging and Topological Data Analysis","Derwae H, Nijs M, Geysels A, Waelkens E, De Moor B.","Anal Chem. 2023 Jul 18;95(28):10550-10556. doi: 10.1021/acs.analchem.2c05606. Epub 2023 Jul 4.","Derwae H","Anal Chem","2023","2023/07/04","PMC10357404","","10.1021/acs.analchem.2c05606"
"34347838","Topological data analysis model for the spread of the coronavirus","Chen Y, Volić I.","PLoS One. 2021 Aug 4;16(8):e0255584. doi: 10.1371/journal.pone.0255584. eCollection 2021.","Chen Y","PLoS One","2021","2021/08/04","PMC8336810","","10.1371/journal.pone.0255584"
"30963074","Topological Methods for Visualization and Analysis of High Dimensional Single-Cell RNA Sequencing Data","Wang T, Johnson T, Zhang J, Huang K.","Pac Symp Biocomput. 2019;24:350-361.","Wang T","Pac Symp Biocomput","2019","2019/04/10","PMC6417818","NIHMS999822",""
"32768443","Untangling the complexity of multimorbidity with machine learning","Hassaine A, Salimi-Khorshidi G, Canoy D, Rahimi K.","Mech Ageing Dev. 2020 Sep;190:111325. doi: 10.1016/j.mad.2020.111325. Epub 2020 Aug 6.","Hassaine A","Mech Ageing Dev","2020","2020/08/10","PMC7493712","","10.1016/j.mad.2020.111325"
