Funder,2020,2021,2022,Overall
Fonds de recherche du Québec - Nature et technologies,72%,74%,72%,71%
Dutch Cancer Society,93%,95%,95%,90%
AIRC Foundation for Cancer Research in Italy,88%,87%,89%,89%
"International Development Research Centre, Canada",88%,88%,85%,87%
Swiss Cancer League,85%,86%,88%,79%
Patient-Centered Outcomes Research Institute,57%,60%,59%,57%
Fondazione Cariplo,84%,86%,90%,82%
Belgian Science Policy Office,78%,77%,81%,75%
"Fundación Bancaria ""la Caixa""",77%,81%,83%,81%
Finnish Funding Agency for Innovation,90%,92%,94%,75%
"Health Research Board, Ireland",87%,90%,93%,87%
"Fondazione Telethon, Italy",59%,65%,70%,57%
"Chief Scientist Office, Scottish Executive",61%,61%,68%,45%
Leibniz Association,89%,92%,92%,86%
Juvenile Diabetes Research Foundation,60%,67%,64%,63%
Research Council of Lithuania,76%,76%,77%,74%
Danish Council for Strategic Research,70%,76%,76%,58%
"Cancer Prevention Research Institute of Texas, USA",72%,75%,74%,74%
"Vinnova, Sweden",-,88%,89%,87%
Luxembourg National Research Fund,89%,92%,91%,88%
Doris Duke Charitable Foundation,74%,71%,71%,69%
Dutch Heart Foundation,95%,96%,96%,93%
Chan Zuckerberg Initiative,82%,80%,81%,78%
Royal Netherlands Academy of Arts and Sciences,66%,71%,73%,56%
Robert Wood Johnson Foundation,84%,84%,86%,82%
Canadian Cancer Society,77%,78%,78%,79%
European Molecular Biology Laboratory,65%,68%,72%,67%
Ford Foundation,83%,80%,82%,78%
Canada First Research Excellence Fund,63%,62%,63%,63%
Business Finland,90%,93%,93%,90%
"Leducq Foundation, USA",70%,64%,70%,66%
Michael Smith Foundation for Health Research,78%,82%,83%,80%
Michael J Fox Foundation,87%,89%,89%,88%
Carlsberg Foundation DK,64%,66%,70%,64%
Susan G. Komen,73%,73%,77%,74%
Icelandic Centre for Research,82%,82%,81%,79%
Alzheimers's UK,61%,65%,67%,62%
Bank of Sweden Tercentenary Foundation,87%,92%,92%,83%
Danish Council for Technology and Innovation,68%,77%,80%,56%
Polish National Agency for Academic Exchange,-,81%,85%,81%
Arnold Ventures LLC,83%,82%,81%,76%
"Higher Education Authority, Ireland",84%,89%,90%,81%
"Autism Speaks Inc, USA",59%,60%,68%,64%
US Office of the Director of National Intelligence,43%,52%,50%,48%
Hewlett Foundation,91%,91%,91%,89%
"Department of Agriculture, Food and the Marine, Ireland",69%,70%,60%,57%
"Medical Research Future Fund, Australia",79%,81%,82%,83%
Fonds de recherche du Quebec Societe et culture,78%,75%,73%,70%
Wellcome Trust/DBT India Alliance,67%,67%,69%,66%
Parkinson's UK,62%,67%,71%,59%
Nordforsk,79%,82%,87%,84%
Ontario Institute for Cancer Research,76%,73%,75%,68%
Damon Runyon Cancer Research Foundation,77%,79%,75%,78%
Diabetes UK,56%,63%,66%,57%
"Vienna Science and Technology Fund, Austria",78%,84%,78%,75%
US Administration for Community Living,41%,40%,47%,38%
Swedish Environmental Protection Agency,89%,97%,96%,88%
Swedish Foundation for Strategic Environmental Research,90%,92%,92%,86%
"AXA Research Fund, France",90%,91%,93%,91%
"V Foundation, USA",78%,82%,76%,78%
"Health Data Research, UK",68%,71%,74%,67%
"Parkinson's Foundation, USA",58%,64%,62%,61%
European & Developing Countries Clinical Trials Partnership,71%,74%,76%,70%
"Dunhill Medical Trust, UK",60%,64%,67%,56%
"Worldwide Cancer Research, UK",71%,71%,70%,65%
"Grand Challenges, Canada",74%,77%,73%,71%
"National Centre for the Replacement, Refinement and Reduction of Animals in Research, UK",73%,73%,74%,70%
African Academy of Sciences,95%,96%,95%,94%
Marianne and Marcus Wallenberg Foundation,88%,95%,94%,91%
Blood Cancer UK,62%,70%,69%,68%
Kone Foundation,-,93%,91%,92%
"Knowledge Foundation, Sweden",-,86%,90%,87%
"Breast Cancer Now, UK",65%,71%,76%,68%
Swiss Cancer Foundation,80%,86%,87%,82%
"Motor Neurone Disease Association, UK",63%,69%,71%,60%
Danish National Advanced Technology Foundation,88%,79%,79%,54%
"Florida Department of Health, USA",66%,67%,64%,67%
Prostate Cancer UK,48%,54%,59%,50%
"Ministry of Health, Singapore",69%,67%,73%,67%
"Academy of Medical Sciences, UK",53%,62%,61%,58%
Swedish National Space Agency,95%,94%,97%,95%
Alex's Lemonade Stand,94%,92%,92%,90%
Multiple Sclerosis Society of Canada,72%,75%,71%,73%
"Environmental Protection Agency, Ireland",90%,90%,90%,85%
Prostate Cancer Canada,75%,75%,75%,75%
"Yorkshire Cancer Research, UK",63%,66%,71%,67%
Templeton World Charity Foundation,-,89%,92%,89%
"World Cancer Researh Fund, UK",95%,93%,94%,93%
"Multiple Sclerosis Society, UK",48%,48%,57%,46%
US Assistant Secretary for Preparedness and Response,63%,66%,68%,62%
Health and Care Research Wales,-,-,70%,54%
"Lymphoma Research Foundation, USA",74%,79%,83%,72%
Melanoma Research Alliance,-,71%,68%,69%
Marcus and Amalia Wallenberg Foundation,95%,91%,91%,92%
"Aligning Science Across Parksinson's, USA",88%,92%,88%,92%
"Pancreatic Cancer Action Network, USA",76%,78%,74%,77%
"Brain Tumour Charity, UK",95%,97%,97%,95%
Canadian Foundation for Healthcare Improvement,85%,74%,58%,78%
Children's Investment Fund Foundation,91%,95%,98%,96%
Champalimaud Foundation,84%,95%,88%,90%
"Dam Foundation, Norway",-,89%,96%,95%
"Brain Research, UK",96%,96%,97%,97%
Foundation for Baltic and East European Studies,90%,89%,87%,80%
"Action on Hearing Loss, UK",56%,86%,53%,65%
"Children's Tumor Foundation, USA",94%,90%,89%,89%
"Pancreatic Cancer, UK",53%,59%,65%,60%
American Brain Tumor Association,72%,73%,67%,73%
MQ Mental Health Research,52%,65%,73%,63%
"Ministry of Science and Higher Education, Ethiopia",90%,94%,86%,85%
Austrian Partnership Programme in Higher Education & Research for Development,93%,93%,83%,90%
Swiss Federal Office for the Environment,-,-,93%,86%
"The Donaghue Foundation, USA",76%,64%,52%,63%
"LUNGevity Foundation, USA",96%,87%,72%,80%
"Marie Curie Cancer Care, UK",70%,46%,77%,59%
"Stroke Association, UK",41%,56%,41%,54%
"Jules Thorn Trust, UK",98%,98%,98%,96%
"Lung Cancer Research Foundation, USA",77%,72%,69%,77%
"Alberta Conservation Association, Canada",78%,74%,77%,78%
"National Environment Agency, Singapore",41%,38%,53%,38%
"Arcadia Fund, UK",83%,87%,73%,86%
"Autism Science Foundation, USA",94%,92%,94%,92%
Citizen’s United for Research in Epilepsy,77%,77%,78%,73%
Swedish Farmers' Foundation for Agricultural Research,-,92%,92%,94%
Abdul Latif Jameel Poverty Action Lab,-,89%,98%,91%
"Children’s Cancer and Leukaemia Group, UK",90%,84%,92%,90%
"British Orthopaedic Association, UK",69%,73%,75%,80%
ME Research UK,67%,100%,88%,49%
"Royal National Institute for Deaf People, UK",-,86%,77%,66%
Swedish-Norwegian Foundation for Equine Research,90%,67%,78%,83%
Berit Wallenberg Foundation,89%,75%,93%,88%
"National Health Innovation Centre, Singapore",93%,62%,77%,73%
"European Hematology Association, Netherlands",50%,50%,67%,56%
"Tuberous Sclerosis Alliance, USA",75%,77%,100%,78%
"Myrovlytis Trust, UK",50%,60%,100%,55%
"de Beaumont Foundation, USA",75%,75%,86%,81%
Huntington Society of Cansda,100%,90%,100%,94%
International FOP Association,75%,80%,83%,74%
"Workforce Development Applied Research Fund, Singapore",50%,60%,64%,62%
"Target Ovarian Cancer, UK",33%,50%,56%,54%
"Medical Research Foundation, UK",-,-,82%,70%
NBIA Disorders Association,100%,50%,50%,57%
Siegel Rare Neuroimmune Association,33%,83%,80%,75%
Coeliac UK,-,100%,80%,67%
"Against Breast Cancer, UK",100%,100%,-,78%
"Cancer Research Institute, USA",100%,-,-,75%
"Human Milk Foundation, UK",-,-,100%,100%
"Stiftelsen Skogssällskapet, Sweden",-,100%,-,100%
"Bikkja Trust, UK",-,100%,-,100%
